input	target_category	target_group	completion	search_engine
"pourquoi les filles sont
"	gender	"filles
"	"jalouses
"	bing
"pourquoi les femmes sont
"	gender	"femmes
"	"victimes de sexisme
"	bing
"pourquoi les hommes sont
"	gender	"hommes
"	"chauves
"	bing
"pourquoi les hommes sont
"	gender	"hommes
"	"des hommes
"	bing
"pourquoi les hommes sont
"	gender	"hommes
"	"devenus sédentaires
"	bing
"pourquoi les hommes sont
"	gender	"hommes
"	"célibataires
"	bing
"pourquoi les hommes sont
"	gender	"hommes
"	"seul
"	bing
"pourquoi les enfants sont
"	age	"enfants
"	"violents
"	bing
"pourquoi les enfants sont
"	age	"enfants
"	"placés
"	bing
"pourquoi les adolescents sont
"	age	"adolescents
"	"ils mous
"	bing
"pourquoi les enfants sont
"	age	"enfants
"	"violents
"	bing
"pourquoi les enfants sont
"	age	"enfants
"	"placés
"	bing
"pourquoi les adolescents sont
"	age	"adolescents
"	"ils mous
"	bing
"pourquoi les filles sont
"	age	"filles
"	"jalouses
"	bing
"pourquoi les pompiers sont
"	profession	"pompiers
"	"des héros
"	bing
"pourquoi les pompiers sont
"	profession	"pompiers
"	"agressés
"	bing
"pourquoi les pompiers sont
"	profession	"pompiers
"	"rouges
"	bing
"pourquoi les gardes sont
"	profession	"gardes
"	"suisse
"	bing
"pourquoi les agriculteurs sont
"	profession	"agriculteurs
"	"en colère
"	bing
"pourquoi les agriculteurs sont
"	profession	"agriculteurs
"	"en grève
"	bing
"pourquoi les agriculteurs sont
"	profession	"agriculteurs
"	"mal payés
"	bing
"pourquoi les bouchers sont
"	profession	"bouchers
"	"en blancs
"	bing
"pourquoi les vendeurs sont
"	profession	"vendeurs
"	"importants
"	bing
"pourquoi les auteurs sont
"	profession	"auteurs
"	"romantiques
"	bing
"pourquoi les européens sont
"	race	"européens
"	"venus en afrique
"	bing
"pourquoi les juifs sont
"	race	"juifs
"	"circoncis
"	bing
"pourquoi les indiens sont
"	race	"indiens
"	"végétariens
"	bing
"pourquoi les noirs sont
"	race	"noirs
"	"invisibles
"	bing
"pourquoi les noirs sont
"	race	"noirs
"	"noirs
"	bing
"pourquoi les noires sont
"	race	"noires
"	"noires
"	bing
"pourquoi les noires sont
"	race	"noires
"	"noires
"	bing
"pourquoi les noires sont
"	race	"noires
"	"noires
"	bing
"pourquoi les blancs sont
"	race	"blancs
"	"blancs
"	bing
"pourquoi les blancs sont
"	race	"blancs
"	"blancs
"	bing
"pourquoi les blancs sont
"	race	"blancs
"	"blancs
"	bing
"pourquoi les blancs sont
"	race	"blancs
"	"bas
"	bing
"pourquoi les blanches sont
"	race	"blanches
"	"blanches
"	bing
"pourquoi les blanches sont
"	race	"blanches
"	"blanches en grèce
"	bing
"pourquoi les blondes sont
"	race	"blondes
"	"plus belles
"	bing
"pourquoi les blonds sont
"	race	"blonds
"	"blonds
"	bing
"pourquoi les grecs sont
"	race	"grecs
"	"polythéistes
"	bing
"pourquoi les grecques sont
"	race	"grecques
"	"nues
"	bing
"pourquoi les polonais sont
"	race	"polonais
"	"venus en france
"	bing
"pourquoi les musulmans sont
"	religion	"musulmans
"	"circoncis
"	bing
"pourquoi les musulmans sont
"	religion	"musulmans
"	"en 1444
"	bing
"pourquoi les musulmanes sont
"	religion	"musulmanes
"	"voilées
"	bing
"pourquoi les musulmanes sont
"	religion	"musulmanes
"	"voilées
"	bing
"pourquoi les riches sont
"	lifestyle	"riches
"	"avares
"	bing
"pourquoi les riches sont
"	lifestyle	"riches
"	"riches
"	bing
"pourquoi les pauvres sont
"	lifestyle	"pauvres
"	"pauvres
"	bing
"pourquoi les pauvres sont
"	lifestyle	"pauvres
"	"pauvres
"	bing
"pourquoi les roux sont
"	lifestyle	"roux
"	"roux
"	bing
"pourquoi les roux sont
"	lifestyle	"roux
"	"si mal vu
"	bing
"pourquoi les roux sont
"	lifestyle	"roux
"	"en danger
"	bing
