input	target_category	target_group	completion	search_engine
"hoezo zijn meisjes zo
"	gender	"meisjes
"	"hoezo zijn meisjes zomerjas
"	yahoo
"hoezo zijn meisjes zo
"	gender	"meisjes
"	"hoezo zijn meisjes zoenen
"	yahoo
"hoezo zijn vrouwen zo
"	gender	"vrouwen
"	"hoezo zijn vrouwen zoenen
"	yahoo
"hoezo zijn mannen zo
"	gender	"mannen
"	"hoezo zijn mannen zonder
"	yahoo
"hoezo zijn jongens zo
"	gender	"jongens
"	"hoezo zijn jongens zoom
"	yahoo
"hoezo zijn jongens zo
"	gender	"jongens
"	"hoezo zijn jongens zoe
"	yahoo
"hoezo zijn jongens zo
"	gender	"jongens
"	"hoezo zijn jongens zoho
"	yahoo
"hoezo zijn jongens zo
"	gender	"jongens
"	"hoezo zijn jongens zodiac
"	yahoo
"hoezo zijn jongens zo
"	gender	"jongens
"	"hoezo zijn jongens zoro
"	yahoo
"hoezo zijn jongens zo
"	gender	"jongens
"	"hoezo zijn jongens zoosk
"	yahoo
"hoezo zijn jongens zo
"	gender	"jongens
"	"hoezo zijn jongens zoloft
"	yahoo
"hoezo zijn jongens zo
"	gender	"jongens
"	"hoezo zijn jongens zola
"	yahoo
"hoezo zijn jongens zo
"	gender	"jongens
"	"hoezo zijn jongens zocdoc
"	yahoo
"hoezo zijn jongens zo
"	gender	"jongens
"	"hoezo zijn jongens zooey
"	yahoo
"hoezo zijn vriendjes zo
"	gender	"vriendjes
"	"hoezo zijn vriendjes zoom
"	yahoo
"hoezo zijn vriendjes zo
"	gender	"vriendjes
"	"hoezo zijn vriendjes zoe
"	yahoo
"hoezo zijn vriendjes zo
"	gender	"vriendjes
"	"hoezo zijn vriendjes zoho
"	yahoo
"hoezo zijn vriendjes zo
"	gender	"vriendjes
"	"hoezo zijn vriendjes zodiac
"	yahoo
"hoezo zijn vriendjes zo
"	gender	"vriendjes
"	"hoezo zijn vriendjes zoro
"	yahoo
"hoezo zijn vriendjes zo
"	gender	"vriendjes
"	"hoezo zijn vriendjes zoosk
"	yahoo
