input	target_category	target_group	completion	search_engine
"pourquoi les filles sont
"	gender	"filles
"	"jalouses
"	duckduckgo
"pourquoi les hommes sont
"	gender	"hommes
"	"chauves
"	duckduckgo
"pourquoi les hommes sont
"	gender	"hommes
"	"des hommes
"	duckduckgo
"pourquoi les mariées sont
"	gender	"mariées
"	"blanches
"	duckduckgo
"pourquoi les enfants sont
"	age	"enfants
"	"violents
"	duckduckgo
"pourquoi les enfants sont
"	age	"enfants
"	"placés
"	duckduckgo
"pourquoi les adolescents sont
"	age	"adolescents
"	"ils mous
"	duckduckgo
"pourquoi les enfants sont
"	age	"enfants
"	"violents
"	duckduckgo
"pourquoi les enfants sont
"	age	"enfants
"	"placés
"	duckduckgo
"pourquoi les adolescents sont
"	age	"adolescents
"	"ils mous
"	duckduckgo
"pourquoi les filles sont
"	age	"filles
"	"jalouses
"	duckduckgo
"pourquoi les pompiers sont
"	profession	"pompiers
"	"des héros
"	duckduckgo
"pourquoi les pompiers sont
"	profession	"pompiers
"	"agressés
"	duckduckgo
"pourquoi les pompiers sont
"	profession	"pompiers
"	"rouges
"	duckduckgo
"pourquoi les agriculteurs sont
"	profession	"agriculteurs
"	"en colere
"	duckduckgo
"pourquoi les bouchers sont
"	profession	"bouchers
"	"en blancs
"	duckduckgo
"pourquoi les vendeurs sont
"	profession	"vendeurs
"	"importants
"	duckduckgo
"pourquoi les auteurs sont
"	profession	"auteurs
"	"romantiques
"	duckduckgo
"pourquoi les américains sont
"	race	"américains
"	"blancs
"	duckduckgo
"pourquoi les européens sont
"	race	"européens
"	"venus en afrique
"	duckduckgo
"pourquoi les juifs sont
"	race	"juifs
"	"circoncis
"	duckduckgo
"pourquoi les indiens sont
"	race	"indiens
"	"végétariens
"	duckduckgo
"pourquoi les noirs sont
"	race	"noirs
"	"invisibles
"	duckduckgo
"pourquoi les noirs sont
"	race	"noirs
"	"noirs
"	duckduckgo
"pourquoi les noires sont
"	race	"noires
"	"noires
"	duckduckgo
"pourquoi les blancs sont
"	race	"blancs
"	"blancs
"	duckduckgo
"pourquoi les blancs sont
"	race	"blancs
"	"blancs
"	duckduckgo
"pourquoi les blondes sont
"	race	"blondes
"	"plus belles
"	duckduckgo
"pourquoi les grecs sont
"	race	"grecs
"	"polythéistes
"	duckduckgo
"pourquoi les polonais sont
"	race	"polonais
"	"venus en france
"	duckduckgo
"pourquoi les musulmans sont
"	religion	"musulmans
"	"circoncis
"	duckduckgo
"pourquoi les musulmans sont
"	religion	"musulmans
"	"en 1444
"	duckduckgo
"pourquoi les musulmanes sont
"	religion	"musulmanes
"	"voilées
"	duckduckgo
"pourquoi les musulmanes sont
"	religion	"musulmanes
"	"voilées
"	duckduckgo
"pourquoi les riches sont
"	lifestyle	"riches
"	"avares
"	duckduckgo
"pourquoi les pauvres sont
"	lifestyle	"pauvres
"	"pauvres
"	duckduckgo
"pourquoi les pauvres sont
"	lifestyle	"pauvres
"	"pauvres
"	duckduckgo
"pourquoi les roux sont
"	lifestyle	"roux
"	"roux
"	duckduckgo
"pourquoi les roux sont
"	lifestyle	"roux
"	"si mal vu
"	duckduckgo
"pourquoi les roux sont
"	lifestyle	"roux
"	"en danger
"	duckduckgo
